Song Name,Streams,Artist,Artist Followers,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Beggin',48633449,Måneskin,3377762.0,2017-12-08,100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589
STAY (with Justin Bieber),47248719,The Kid LAROI,2230022.0,2021-07-09,99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478
good 4 u,40162559,Olivia Rodrigo,6266514.0,2021-05-21,99.0,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147.0,0.688
Bad Habits,37799456,Ed Sheeran,83293380.0,2021-06-25,98.0,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041.0,0.591
INDUSTRY BABY (feat. Jack Harlow),33948454,Lil Nas X,5473565.0,2021-07-23,96.0,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000.0,0.894
MONTERO (Call Me By Your Name),30071134,Lil Nas X,5473565.0,2021-03-31,97.0,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876.0,0.758
Kiss Me More (feat. SZA),29356736,Doja Cat,8640063.0,2021-04-09,94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742
Todo De Ti,26951613,Rauw Alejandro,6080597.0,2021-05-20,95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342
Yonaguni,25030128,Bad Bunny,36142273.0,2021-06-04,96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44
I WANNA BE YOUR SLAVE,24551591,Måneskin,3377762.0,2021-03-19,95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958
Levitating (feat. DaBaby),23518010,Dua Lipa,27142474.0,2020-10-01,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915
Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363.0,2021-05-28,95.0,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773.0,0.768
Permission to Dance,22062812,BTS,37106176.0,2021-07-09,95.0,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585.0,0.646
Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126.0,2021-03-19,94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464
Butter,19985713,BTS,37106176.0,2021-06-04,95.0,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442.0,0.695
traitor,19480679,Olivia Rodrigo,6266514.0,2021-05-21,94.0,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227.0,0.0849
deja vu,18571755,Olivia Rodrigo,6266514.0,2021-05-21,93.0,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507.0,0.178
Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637.0,2021-04-23,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593
AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,2021-06-24,93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335.0,0.785
Need To Know,16908917,Doja Cat,8640063.0,2021-06-25,90.0,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560.0,0.194
Volando - Remix,16606925,"Mora, Bad Bunny, Sech",151486.0,2021-07-08,91.0,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474.0,0.632
Ain't Shit,16126897,Doja Cat,8640063.0,2021-06-25,90.0,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253.0,0.619
drivers license,15684978,Olivia Rodrigo,6266514.0,2021-05-21,92.0,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013.0,0.137
Heat Waves,15089184,Glass Animals,1890510.0,2020-08-07,85.0,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805.0,0.531
Blinding Lights,15011809,The Weeknd,35305637.0,2020-03-20,92.0,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040.0,0.334
happier,14849078,Olivia Rodrigo,6266514.0,2021-05-21,92.0,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933.0,0.338
Pepas,14809458,Farruko,10502148.0,2021-06-24,92.0,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120.0,0.442
Motley Crew,14329162,Post Malone,33651775.0,2021-07-09,90.0,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213.0,0.288
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637,"Riton, Nightcrawlers",83689.0,2021-01-15,92.0,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153.0,0.801
Astronaut In The Ocean,14174752,Masked Wolf,365975.0,2021-01-06,89.0,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780.0,0.472
Leave The Door Open,13963568,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754.0,2021-03-05,92.0,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096.0,0.719
Don't Go Yet,13205250,Camila Cabello,22683756.0,2021-07-23,88.0,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842.0,0.61
favorite crime,12818935,Olivia Rodrigo,6266514.0,2021-05-21,91.0,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667.0,0.218
Pareja Del Año,12572307,"Sebastian Yatra, Myke Towers",16216789.0,2021-04-16,91.0,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053.0,0.808
Watermelon Sugar,11996689,Harry Styles,16112621.0,2019-12-13,90.0,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000.0,0.557
NOT SOBER (feat. Polo G & Stunna Gambino),11869336,The Kid LAROI,,,,,,,,,,,,
RAPSTAR,11683383,Polo G,4840346.0,2021-04-09,89.0,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926.0,0.437
You Right,11629418,"Doja Cat, The Weeknd",8640063.0,2021-06-25,89.0,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173.0,0.436
911 - Remix,11553846,"Sech, Jhay Cortez",8758283.0,2021-07-09,89.0,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631.0,0.784
