invoice_id,city,customer,gender,product_line,unit_price,quantity,date,time,payment,rating
750-67-8428,Yangon,Member,Female,Health and beauty,74.69,7,1/5/2019,13:08,Ewallet,9.1
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3/8/2019,10:29,Cash,9.6
631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7,3/3/2019,13:23,Credit card,7.4
123-19-1176,Yangon,Member,Male,Health and beauty,58.22,8,1/27/2019,20:33,Ewallet,8.4
373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7,2/8/2019,10:37,Ewallet,5.3
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,3/25/2019,18:30,Ewallet,4.1
355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,6,2/25/2019,14:36,Ewallet,5.8
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,2/24/2019,11:38,Ewallet,8
665-32-9167,Yangon,Member,Female,Health and beauty,36.26,2,1/10/2019,17:15,Credit card,7.2
692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,3,2/20/2019,13:27,Credit card,5.9
351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,4,2/6/2019,18:07,Ewallet,4.5
529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,4,3/9/2019,17:03,Cash,6.8
365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,5,2/12/2019,10:25,Ewallet,7.1
252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10,2/7/2019,16:48,Ewallet,8.2
829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,10,3/29/2019,19:21,Cash,5.7
299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,6,1/15/2019,16:19,Cash,4.5
656-95-9349,Yangon,Member,Female,Health and beauty,68.93,7,3/11/2019,11:03,Credit card,4.6
765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6,1/1/2019,10:39,Credit card,6.9
329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3,1/21/2019,18:00,Credit card,8.6
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.3,2,3/11/2019,15:30,Ewallet,4.4
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,5,2/25/2019,11:24,Ewallet,4.8
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,3/5/2019,10:40,Ewallet,5.1
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3/15/2019,12:20,Credit card,4.4
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,2/17/2019,11:15,Ewallet,9.9
549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3,3/2/2019,17:36,Ewallet,6
227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8,3/22/2019,19:20,Credit card,8.5
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,2/8/2019,15:31,Cash,6.7
189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2,3/10/2019,12:17,Credit card,7.7
145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5,1/25/2019,19:48,Cash,9.6
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,3/15/2019,15:36,Cash,7.4
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,2/25/2019,19:39,Credit card,4.8
149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9,1/28/2019,12:43,Cash,4.5
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,1/10/2019,14:49,Cash,5.1
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,3/15/2019,10:12,Credit card,5.1
183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4,2/6/2019,10:42,Ewallet,7.5
232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1,1/7/2019,12:28,Ewallet,6.8
129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5,3/10/2019,19:15,Ewallet,7
272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9,1/15/2019,17:17,Ewallet,4.7
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8,3/23/2019,13:24,Ewallet,7.6
777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8,3/3/2019,13:01,Cash,7.7
280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1,1/17/2019,18:45,Ewallet,7.9
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,2/2/2019,10:11,Cash,6.3
354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6,2/8/2019,13:03,Cash,5.6
228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,8,3/4/2019,20:39,Cash,7.6
617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2,3/16/2019,19:47,Cash,7.2
132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4,3/9/2019,18:00,Cash,9.5
370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9,2/27/2019,17:24,Credit card,8.4
727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9,2/6/2019,15:47,Ewallet,4.1
669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6,2/10/2019,12:45,Credit card,8.1
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10,3/19/2019,17:08,Ewallet,7.9
326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,7,2/3/2019,10:19,Cash,9.5
162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5,2/10/2019,15:10,Cash,8.5
616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4,3/22/2019,14:42,Ewallet,6.5
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1,1/25/2019,15:46,Credit card,6.1
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2,3/7/2019,11:49,Ewallet,6.5
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,2/28/2019,19:01,Cash,8.2
106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2,3/27/2019,11:26,Cash,5.8
635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8,2/7/2019,11:28,Ewallet,6.6
817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10,1/20/2019,15:55,Cash,5.4
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,3/12/2019,20:36,Cash,9.3
285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3,2/15/2019,17:47,Credit card,10
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,2/24/2019,10:55,Ewallet,7
347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9,2/3/2019,13:40,Ewallet,10
199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10,3/6/2019,12:27,Credit card,8.6
