Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK
Date,,,,,,,,,,,,,,,,,,
2018-01-01,1453.16748046875,4122.658203125,3243.274169921875,1860.0,4380.0,3640.0,1860.0,4380.0,3640.0,1860.0,4380.0,3640.0,1860.0,4380.0,3640.0,0.0,0.0,0.0
2018-01-02,1468.79296875,4122.658203125,3234.3642578125,1880.0,4380.0,3630.0,1900.0,4505.0,3720.0,1865.0,4365.0,3610.0,1865.0,4380.0,3690.0,26045000.0,82303500.0,91127100.0
2018-01-03,1429.729248046875,4122.658203125,3216.5439453125,1830.0,4380.0,3610.0,1890.0,4390.0,3630.0,1810.0,4265.0,3560.0,1890.0,4385.0,3630.0,35595000.0,68214000.0,70148700.0
2018-01-04,1496.137451171875,4183.83935546875,3163.083740234375,1915.0,4445.0,3550.0,1935.0,4445.0,3610.0,1850.0,4380.0,3460.0,1860.0,4380.0,3610.0,81191500.0,76567000.0,156406300.0
2018-01-05,1554.733154296875,4188.54638671875,3198.7236328125,1990.0,4450.0,3590.0,1990.0,4480.0,3590.0,1935.0,4435.0,3520.0,1935.0,4460.0,3550.0,112355500.0,65268000.0,87095600.0
2018-01-08,1687.5494384765625,4207.37060546875,3198.7236328125,2160.0,4470.0,3590.0,2180.0,4515.0,3590.0,1975.0,4445.0,3560.0,2000.0,4450.0,3590.0,140767300.0,57928000.0,54559100.0
2018-01-09,1703.1749267578125,4240.314453125,3180.9033203125,2180.0,4505.0,3570.0,2240.0,4510.0,3600.0,2140.0,4490.0,3530.0,2180.0,4500.0,3600.0,109077300.0,61213000.0,90606700.0
2018-01-10,1726.6129150390625,4226.19580078125,3145.26318359375,2210.0,4490.0,3530.0,2210.0,4545.0,3590.0,2150.0,4465.0,3500.0,2200.0,4505.0,3580.0,68206700.0,47292000.0,116409100.0
2018-01-11,1703.1749267578125,4273.25830078125,3154.173583984375,2180.0,4540.0,3540.0,2220.0,4540.0,3540.0,2140.0,4460.0,3480.0,2200.0,4490.0,3540.0,53966100.0,57569000.0,114378900.0
2018-01-12,1742.2386474609375,4221.490234375,3154.173583984375,2230.0,4485.0,3540.0,2260.0,4545.0,3580.0,2190.0,4465.0,3500.0,2200.0,4540.0,3550.0,91231600.0,66590500.0,133445300.0
2018-01-15,1742.2386474609375,4230.90234375,3163.083740234375,2230.0,4495.0,3550.0,2260.0,4500.0,3570.0,2210.0,4460.0,3540.0,2250.0,4490.0,3540.0,35912100.0,41875000.0,86615800.0
2018-01-16,1710.987548828125,4254.43212890625,3216.5439453125,2190.0,4520.0,3610.0,2250.0,4535.0,3610.0,2150.0,4490.0,3530.0,2230.0,4490.0,3530.0,66577100.0,50055000.0,92106400.0
2018-01-17,1695.3621826171875,4169.72119140625,3234.3642578125,2170.0,4430.0,3630.0,2230.0,4540.0,3630.0,2130.0,4430.0,3580.0,2210.0,4540.0,3620.0,49228000.0,183003000.0,81465500.0
2018-01-18,1695.3621826171875,4249.7275390625,3225.4541015625,2170.0,4515.0,3620.0,2200.0,4520.0,3650.0,2150.0,4450.0,3590.0,2200.0,4450.0,3630.0,64596400.0,84980500.0,79140800.0
2018-01-19,1703.1749267578125,4226.19580078125,3225.4541015625,2180.0,4490.0,3620.0,2230.0,4530.0,3630.0,2160.0,4480.0,3580.0,2180.0,4525.0,3620.0,60009200.0,50450500.0,79576200.0
2018-01-22,1804.7403564453125,4230.90234375,3252.184326171875,2310.0,4495.0,3650.0,2350.0,4515.0,3670.0,2210.0,4485.0,3610.0,2210.0,4510.0,3620.0,122900400.0,81367500.0,116838000.0
2018-01-23,1890.680419921875,4263.84619140625,3492.757080078125,2420.0,4530.0,3920.0,2440.0,4540.0,3920.0,2350.0,4505.0,3670.0,2350.0,4530.0,3680.0,74669600.0,68752000.0,169304700.0
2018-01-24,1906.3056640625,4249.7275390625,3412.566162109375,2440.0,4515.0,3830.0,2470.0,4525.0,3900.0,2380.0,4500.0,3820.0,2440.0,4525.0,3900.0,64172400.0,94254500.0,150067600.0
2018-01-25,1914.1185302734375,4249.7275390625,3359.10546875,2450.0,4515.0,3770.0,2480.0,4530.0,3860.0,2420.0,4490.0,3720.0,2480.0,4510.0,3860.0,36942900.0,53653500.0,141273900.0
2018-01-26,1906.3056640625,4273.25830078125,3430.386474609375,2440.0,4540.0,3850.0,2470.0,4570.0,3860.0,2410.0,4505.0,3780.0,2460.0,4525.0,3790.0,47872100.0,58121000.0,135628300.0
2018-01-29,2000.058349609375,4292.0830078125,3385.835693359375,2560.0,4560.0,3800.0,2650.0,4565.0,3850.0,2440.0,4510.0,3760.0,2440.0,4560.0,3850.0,70182600.0,114814500.0,122622900.0
2018-01-30,1992.245849609375,4292.0830078125,3314.554931640625,2550.0,4560.0,3720.0,2610.0,4690.0,3800.0,2460.0,4530.0,3710.0,2600.0,4540.0,3800.0,67769700.0,114055000.0,179332000.0
2018-01-31,1914.1185302734375,4277.9638671875,3296.73486328125,2450.0,4545.0,3700.0,2560.0,4580.0,3720.0,2450.0,4540.0,3630.0,2500.0,4560.0,3700.0,70402900.0,106803000.0,263207500.0
2018-02-01,1875.0546875,4400.326171875,3296.73486328125,2400.0,4675.0,3700.0,2480.0,4685.0,3760.0,2360.0,4570.0,3700.0,2460.0,4570.0,3730.0,58711400.0,138208000.0,145586000.0
2018-02-02,1929.7440185546875,4513.2763671875,3332.375244140625,2470.0,4795.0,3740.0,2530.0,4940.0,3750.0,2320.0,4720.0,3710.0,2400.0,4725.0,3740.0,115254700.0,98474000.0,114113200.0
2018-02-05,1968.8077392578125,4480.33251953125,3368.015625,2520.0,4760.0,3780.0,2590.0,4805.0,3790.0,2390.0,4700.0,3650.0,2430.0,4750.0,3650.0,95408100.0,49501500.0,112677000.0
2018-02-06,1914.1185302734375,4428.56396484375,3278.914306640625,2450.0,4705.0,3680.0,2530.0,4735.0,3720.0,2420.0,4660.0,3660.0,2430.0,4690.0,3690.0,102217400.0,117589500.0,260283000.0
2018-02-07,1914.1185302734375,4423.85693359375,3296.73486328125,2450.0,4700.0,3700.0,2520.0,4795.0,3750.0,2390.0,4695.0,3700.0,2500.0,4730.0,3710.0,69711300.0,121947000.0,137926500.0
2018-02-08,1890.680419921875,4461.50732421875,3314.554931640625,2420.0,4740.0,3720.0,2480.0,4760.0,3730.0,2390.0,4700.0,3680.0,2400.0,4710.0,3680.0,41480500.0,68461000.0,111109200.0
2018-02-09,1812.552978515625,4437.97705078125,3305.644775390625,2320.0,4715.0,3710.0,2370.0,4745.0,3730.0,2300.0,4670.0,3680.0,2300.0,4680.0,3690.0,35274800.0,71076500.0,93140200.0
2018-02-12,1835.9912109375,4423.85693359375,3385.835693359375,2350.0,4700.0,3800.0,2370.0,4760.0,3800.0,2330.0,4700.0,3700.0,2340.0,4760.0,3700.0,28576600.0,38409500.0,81517000.0
2018-02-13,1890.680419921875,4480.33251953125,3457.11669921875,2420.0,4760.0,3880.0,2450.0,4785.0,3890.0,2370.0,4750.0,3810.0,2370.0,4760.0,3810.0,73635600.0,59406000.0,108236400.0
2018-02-14,1906.3056640625,4461.50732421875,3439.29638671875,2440.0,4740.0,3860.0,2490.0,4775.0,3910.0,2410.0,4710.0,3830.0,2450.0,4745.0,3900.0,57512800.0,75553000.0,67665200.0
2018-02-15,1929.7440185546875,4414.44482421875,3421.476318359375,2470.0,4690.0,3840.0,2500.0,4785.0,3870.0,2460.0,4690.0,3820.0,2480.0,4780.0,3860.0,45453800.0,52958500.0,52893500.0
2018-02-16,1929.7440185546875,4414.44482421875,3421.476318359375,2470.0,4690.0,3840.0,2470.0,4690.0,3840.0,2470.0,4690.0,3840.0,2470.0,4690.0,3840.0,0.0,0.0,0.0
2018-02-19,1945.369384765625,4565.04443359375,3439.29638671875,2490.0,4850.0,3860.0,2510.0,4850.0,3860.0,2450.0,4730.0,3820.0,2460.0,4735.0,3850.0,29481000.0,50185500.0,63409000.0
2018-02-20,1898.4931640625,4522.68798828125,3385.835693359375,2430.0,4805.0,3800.0,2520.0,4840.0,3860.0,2410.0,4775.0,3780.0,2510.0,4820.0,3840.0,34752100.0,34830000.0,91506500.0
